ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
ykl208w	-0.3799999952316284	-1.0099999904632568	-0.9200000166893005	-0.6499999761581421	-1.940000057220459	-0.14000000059604645	-0.3199999928474426	-0.5600000023841858	-0.11999999731779099	-0.9800000190734863	-0.07999999821186066	-0.4399999976158142	-0.4099999964237213	-0.8700000047683716	-1.2400000095367432	-0.49000000953674316	-0.5899999737739563	-0.10000000149011612
ykr018c	0.5600000023841858	0.550000011920929	0.6200000047683716	0.6499999761581421	0.3799999952316284	0.38999998569488525	0.30000001192092896	0.28999999165534973	0.2199999988079071	0.5199999809265137	0.23999999463558197	0.25999999046325684	0.2800000011920929	0.14000000059604645	0.4399999976158142	0.10999999940395355	0.5	0.14000000059604645
ykr019c	-0.20000000298023224	0.6499999761581421	-0.3100000023841858	-0.09000000357627869	-0.30000001192092896	-0.46000000834465027	-0.23999999463558197	-0.49000000953674316	-0.20999999344348907	0.09000000357627869	-0.20000000298023224	-0.20999999344348907	-0.3400000035762787	-0.07999999821186066	0.10000000149011612	-0.3700000047683716	0.23999999463558197	-0.23000000417232513
ykr020w	0.17000000178813934	0.30000001192092896	0.2800000011920929	0.029999999329447746	0.15000000596046448	-0.23000000417232513	-0.07000000029802322	0.12999999523162842	-0.15000000596046448	-0.18000000715255737	-0.10999999940395355	-0.36000001430511475	0.009999999776482582	-0.6899999976158142	-0.14000000059604645	-0.09000000357627869	0.3199999928474426	-0.10999999940395355
ykr021w	-0.38999998569488525	-0.25999999046325684	-0.23000000417232513	-0.6899999976158142	-0.8299999833106995	-0.6499999761581421	-0.07000000029802322	-0.20000000298023224	0.10999999940395355	0.1899999976158142	-0.23999999463558197	-0.15000000596046448	-0.49000000953674316	-0.07000000029802322	-0.4099999964237213	-0.10999999940395355	0.03999999910593033	-0.28999999165534973
ykl207w	-0.49000000953674316	-0.49000000953674316	-0.33000001311302185	-0.25999999046325684	-0.05999999865889549	-0.23000000417232513	-0.28999999165534973	-0.019999999552965164	0.1599999964237213	-0.10999999940395355	0.10999999940395355	-0.20999999344348907	0.009999999776482582	0.15000000596046448	0.20000000298023224	0.18000000715255737	-0.3400000035762787	-0.5799999833106995
ykr022c	-0.03999999910593033	-0.2800000011920929	0.09000000357627869	-0.10999999940395355	-0.15000000596046448	-0.18000000715255737	0.05999999865889549	0.3199999928474426	0.1599999964237213	-0.17000000178813934	-0.23999999463558197	-0.09000000357627869	-0.019999999552965164	-0.47999998927116394	-0.25	-0.09000000357627869	0.5400000214576721	0.11999999731779099
ykr023w	0.17000000178813934	0.23000000417232513	0.019999999552965164	0.10999999940395355	-0.3400000035762787	0.0	0.029999999329447746	-0.25	0.009999999776482582	0.019999999552965164	-0.23999999463558197	-0.30000001192092896	-0.17000000178813934	-0.14000000059604645	-0.25	-0.019999999552965164	-0.36000001430511475	0.2199999988079071
ykr024c	0.029999999329447746	-0.9700000286102295	-0.949999988079071	-0.20000000298023224	-0.05999999865889549	-0.25	0.25999999046325684	0.009999999776482582	0.05999999865889549	-0.029999999329447746	-0.1899999976158142	-0.27000001072883606	0.25	-0.17000000178813934	0.11999999731779099	0.1899999976158142	0.25	-0.14000000059604645
ykr025w	0.0	-0.23000000417232513	-0.5199999809265137	-0.03999999910593033	-0.6399999856948853	0.0	-0.07000000029802322	NA	0.1899999976158142	0.2800000011920929	-0.05999999865889549	-0.009999999776482582	-0.03999999910593033	-0.20999999344348907	-0.17000000178813934	-0.009999999776482582	-0.10999999940395355	0.09000000357627869
